Date,Time,Currency,Event,Previous,Forecast,Actual
"Sep 14, 2022",06:00,GBP,Core Inflation Rate YoY,6.2%,6.3%,6.3%
,06:00,GBP,Inflation Rate MoM,0.6%,0.6%,0.5%
,06:00,GBP,Inflation Rate YoY,10.1%,10.2%,9.9%
"Sep 15, 2022",11:00,GBP,BoE Quantitative Easing,,,
"Sep 16, 2022",06:00,GBP,Retail Sales YoY,-3.2%,-4.2%,-5.4%
,06:00,GBP,Retail Sales MoM,0.4%,-0.5%,-1.6%
,06:00,GBP,Retail Sales ex Fuel MoM,0.4%,-0.7%,-1.6%
"Sep 21, 2022",10:00,GBP,CBI Industrial Trends Orders,-7,-11,-2
"Sep 22, 2022",11:00,GBP,BoE MPC Vote Cut,0/9,0/9,0/9
,11:00,GBP,BoE Interest Rate Decision,1.75%,2.25%,2.25%
,11:00,GBP,BoE MPC Vote Hike,9/9,9/9,9/9
,11:00,GBP,BoE MPC Vote Unchanged,0/9,0/9,0/9
,11:00,GBP,MPC Meeting Minutes,,,
,23:01,GBP,Gfk Consumer Confidence,-44,-42,-49
"Sep 23, 2022",08:30,GBP,S&P Global/CIPS Manufacturing PMI Flash,47.3,47.5,48.5
,08:30,GBP,S&P Global/CIPS UK Services PMI Flash,50.9,50,49.2
,08:30,GBP,Markit/CIPS UK Services PMI Flash,,,
,08:30,GBP,Markit/CIPS Manufacturing PMI Flash,,,
,08:30,GBP,Finance Minister Kwarteng Statement,,,
,10:00,GBP,CBI Distributive Trades,37,10,-20
"Sep 26, 2022",16:00,GBP,BoE Tenreyro Speech,,,
"Sep 27, 2022",11:00,GBP,BoE Pill Speech,,,
"Sep 28, 2022",18:00,GBP,BoE Dhingra Speech,,,
"Sep 29, 2022",08:30,GBP,Mortgage Lending,,,
,08:30,GBP,BoE Consumer Credit,,,
,08:30,GBP,Mortgage Approvals,,,
"Sep 30, 2022",06:00,GBP,GDP Growth Rate YoY Final,,,
,06:00,GBP,GDP Growth Rate QoQ Final,0.8%,,
,06:00,GBP,Current Account,£-51.7B,,
"Oct 03, 2022",06:00,GBP,Nationwide Housing Prices YoY,,,
,06:00,GBP,Nationwide Housing Prices MoM,,,
,08:30,GBP,S&P Global/CIPS Manufacturing PMI Final,47.3,48.5,48.4
"Oct 05, 2022",08:30,GBP,S&P Global/CIPS UK Services PMI Final,50.9,49.2,50
"Oct 06, 2022",08:30,GBP,S&P Global/CIPS Construction PMI,49.2,48,52.3
"Oct 07, 2022",06:00,GBP,Halifax House Price Index YoY,11.4%,,9.9%
,06:00,GBP,Halifax House Price Index MoM,0.3%,,-0.1%
"Oct 10, 2022",23:01,GBP,BRC Retail Sales Monitor YoY,0.5%,,1.8%
"Oct 11, 2022",06:00,GBP,Average Earnings incl. Bonus,,,
,06:00,GBP,Unemployment Rate,3.6%,3.6%,3.5%
,06:00,GBP,Claimant Count Change,6.3K,,25.5K
,06:00,GBP,Employment Change,40K,-155K,-109K
,06:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),5.5%,5.9%,6%
,18:00,GBP,BoE Cunliffe Speech,,,
,18:35,GBP,BoE Gov Bailey Speech,,,
"Oct 12, 2022",06:00,GBP,Construction Output YoY,4.9%,5.6%,6.1%
,06:00,GBP,Manufacturing Production YoY,-5.2%,0.8%,-6.7%
,06:00,GBP,Goods Trade Balance Non-EU,£-9.1B,,£-11.079B
,06:00,GBP,GDP 3-Month Avg,0.1%,-0.2%,-0.3%
,06:00,GBP,GDP MoM,0.1%,0%,-0.3%
,06:00,GBP,Industrial Production YoY,-3.2%,0.6%,-5.2%
,06:00,GBP,Balance of Trade,£-5.445B,,£-7.080B
,06:00,GBP,Goods Trade Balance,£-17.594B,£-20.4B,£-19.257B
"Oct 14, 2022",11:00,GBP,BoE Quarterly Bulletin,,,
,13:30,GBP,PM Liz Truss Speech,,,
"Oct 17, 2022",10:15,GBP,Chancellor Jeremy Hunt Statement,,,
,14:30,GBP,Chancellor Jeremy Hunt Speech,,,
"Oct 19, 2022",06:00,GBP,Core Inflation Rate YoY,6.3%,6.4%,6.5%
,06:00,GBP,Inflation Rate MoM,0.5%,0.4%,0.5%
,06:00,GBP,Inflation Rate YoY,9.9%,10%,10.1%
"Oct 20, 2022",23:01,GBP,Gfk Consumer Confidence,-49,-52,-47
"Oct 21, 2022",06:00,GBP,Retail Sales MoM,-1.7%,-0.5%,-1.4%
,06:00,GBP,Retail Sales ex Fuel MoM,-1.7%,-0.3%,-1.5%
,06:00,GBP,Retail Sales YoY,-5.6%,-5%,-6.9%
"Oct 24, 2022",08:30,GBP,S&P Global/CIPS UK Services PMI Flash,50,49,47.5
,08:30,GBP,S&P Global/CIPS Manufacturing PMI Flash,48.4,48,45.8
"Oct 25, 2022",08:55,GBP,BoE Pill Speech,,,
,10:00,GBP,CBI Industrial Trends Orders,-2,-12,-4
,10:00,GBP,CBI Business Optimism Index,-21,,-48
"Oct 27, 2022",10:00,GBP,CBI Distributive Trades,-20,,18
,15:30,GBP,BoE Woods Speech,,,
"Oct 31, 2022",09:30,GBP,Mortgage Approvals,74.42K,67K,66.789K
,09:30,GBP,BoE Consumer Credit,£1.215B,£0.978B,£0.745B
,09:30,GBP,Mortgage Lending,£6.136B,,£6.06B
"Nov 01, 2022",07:00,GBP,Nationwide Housing Prices YoY,9.5%,8.3%,7.2%
,07:00,GBP,Nationwide Housing Prices MoM,0%,,-0.9%
,09:30,GBP,S&P Global/CIPS Manufacturing PMI Final,48.4,45.8,46.2
"Nov 03, 2022",09:30,GBP,S&P Global/CIPS UK Services PMI Final,50,47.5,48.8
,12:00,GBP,BoE Interest Rate Decision,2.25%,3%,3%
,12:00,GBP,MPC Meeting Minutes,,,
,12:00,GBP,BoE Quantitative Easing,,,
,12:00,GBP,BoE MPC Vote Unchanged,0/9,0/9,0/9
,12:00,GBP,BoE MPC Vote Hike,9/9,9/9,9/9
,12:00,GBP,Monetary Policy Report,,,
,12:00,GBP,BoE MPC Vote Cut,0/9,0/9,0/9
"Nov 04, 2022",09:30,GBP,S&P Global/CIPS Construction PMI,52.3,50.5,53.2
,12:15,GBP,BoE Pill Speech,,,
"Nov 07, 2022",07:00,GBP,Halifax House Price Index MoM,-0.1%,,-0.4%
,07:00,GBP,Halifax House Price Index YoY,9.8%,,8.3%
"Nov 08, 2022",00:01,GBP,BRC Retail Sales Monitor YoY,1.8%,,1.2%
,09:00,GBP,BoE Pill Speech,,,
"Nov 10, 2022",13:10,GBP,BoE Tenreyro Speech,,,
"Nov 11, 2022",07:00,GBP,GDP MoM,-0.1%,-0.4%,-0.6%
,07:00,GBP,Industrial Production YoY,-4.3%,-4.3%,-3.1%
,07:00,GBP,GDP Growth Rate QoQ Prel,0.2%,-0.5%,-0.2%
,07:00,GBP,GDP Growth Rate YoY Prel,4.4%,2.1%,2.4%
,07:00,GBP,Manufacturing Production YoY,-6.2%,-6.6%,-5.8%
,07:00,GBP,Balance of Trade,£-4.676B,,£-3.135B
,07:00,GBP,Goods Trade Balance Non-EU,£-9.248B,,£-8.551B
,07:00,GBP,Goods Trade Balance,£-17.177B,£-18.75B,£-15.656B
,07:00,GBP,GDP 3-Month Avg,-0.1%,-0.5%,-0.2%
,07:00,GBP,Business Investment QoQ Prel,3.7%,,-0.5%
"Nov 15, 2022",07:00,GBP,Average Earnings incl. Bonus,,,
,07:00,GBP,Unemployment Rate,3.5%,3.5%,3.6%
,07:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.1%,5.9%,6%
,07:00,GBP,Claimant Count Change,3.9K,,3.3K
,07:00,GBP,Employment Change,-109K,-25K,-52K
"Nov 16, 2022",07:00,GBP,Inflation Rate YoY,10.1%,10.7%,11.1%
,07:00,GBP,Inflation Rate MoM,0.5%,1.7%,2%
,07:00,GBP,Core Inflation Rate YoY,6.5%,6.4%,6.5%
,14:15,GBP,BoE Monetary Policy Report Hearings,,,
"Nov 17, 2022",12:00,GBP,UK Autumn Statement,,,
,12:30,GBP,BoE Pill Speech,,,
,12:30,GBP,Autumn Statement,,,
,12:30,GBP,UK Fiscal Statement,,,
"Nov 18, 2022",00:01,GBP,GfK Consumer Confidence,-47,,-44
,07:00,GBP,Retail Sales YoY,-6.8%,-6.5%,-6.1%
,07:00,GBP,Retail Sales ex Fuel MoM,-1.5%,0.6%,0.3%
,07:00,GBP,Retail Sales MoM,-1.5%,0.3%,0.6%
"Nov 23, 2022",09:30,GBP,S&P Global/CIPS UK Services PMI Flash,48.8,48,48.8
,09:30,GBP,S&P Global/CIPS Manufacturing PMI Flash,46.2,45.8,46.2
,19:00,GBP,BoE Pill Speech,,,
"Nov 24, 2022",11:00,GBP,CBI Industrial Trends Orders,-4,-8,-5
,13:45,GBP,BoE L Mann Speech,,,
"Nov 28, 2022",11:00,GBP,CBI Distributive Trades,18,,-19
"Nov 29, 2022",09:30,GBP,Mortgage Lending,£5.9B,£5.023B,£3.966B
,09:30,GBP,BoE Consumer Credit,£0.608B,£0.9B,£0.769B
,09:30,GBP,Mortgage Approvals,65.967K,60.2K,58.977K
,12:35,GBP,BoE L Mann Speech,,,
"Nov 30, 2022",08:30,GBP,BoE Pill Speech,,,
"Dec 01, 2022",07:00,GBP,Nationwide Housing Prices MoM,-0.9%,-0.3%,-1.4%
,07:00,GBP,Nationwide Housing Prices YoY,7.2%,5.8%,4.4%
,09:30,GBP,S&P Global/CIPS Manufacturing PMI Final,46.2,46.2,46.5
"Dec 05, 2022",09:30,GBP,S&P Global/CIPS UK Services PMI Final,48.8,48.8,48.8
"Dec 06, 2022",00:01,GBP,BRC Retail Sales Monitor YoY,1.2%,,4.1%
,09:30,GBP,S&P Global/CIPS Construction PMI,53.2,52,50.4
"Dec 07, 2022",07:00,GBP,Halifax House Price Index MoM,-0.4%,-0.2%,-2.3%
,07:00,GBP,Halifax House Price Index YoY,8.2%,,4.7%
"Dec 12, 2022",07:00,GBP,Industrial Production YoY,-3.1%,-2.8%,-2.4%
,07:00,GBP,GDP 3-Month Avg,-0.2%,-0.4%,-0.3%
,07:00,GBP,Goods Trade Balance,£-15.656B,£-15.65B,£-14.476B
,07:00,GBP,GDP MoM,-0.6%,0.4%,0.5%
,07:00,GBP,Goods Trade Balance Non-EU,£-8.551B,,£-4.823B
"Dec 13, 2022",07:00,GBP,Unemployment Rate,3.6%,3.7%,3.7%
,07:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.0%,6.2%,6.1%
,07:00,GBP,Claimant Count Change,-6.4K,3.5K,30.5K
,07:00,GBP,Employment Change,-52K,-17K,27K
"Dec 14, 2022",07:00,GBP,Inflation Rate YoY,11.1%,10.9%,10.7%
,07:00,GBP,Core Inflation Rate YoY,6.5%,6.5%,6.3%
,07:00,GBP,Inflation Rate MoM,2%,0.6%,0.4%
"Dec 15, 2022",12:00,GBP,BoE MPC Vote Hike,9/9,9/9,7/9
,12:00,GBP,BoE MPC Vote Cut,0/9,0/9,0/9
,12:00,GBP,BoE MPC Vote Unchanged,0/9,0/9,2/9
,12:00,GBP,BoE Interest Rate Decision,3%,3.5%,3.5%
,12:00,GBP,BoE Quantitative Easing,,,
,12:00,GBP,MPC Meeting Minutes,,,
"Dec 16, 2022",00:01,GBP,GfK Consumer Confidence,-44,-43,-42
,07:00,GBP,Retail Sales MoM,0.9%,0.3%,-0.4%
,07:00,GBP,Retail Sales YoY,-5.9%,-5.6%,-5.9%
,07:00,GBP,Retail Sales ex Fuel MoM,0.7%,0.3%,-0.3%
,09:30,GBP,S&P Global/CIPS Manufacturing PMI Flash,46.5,46.3,44.7
,09:30,GBP,S&P Global/CIPS UK Services PMI Flash,48.8,48.5,50
"Dec 19, 2022",11:00,GBP,CBI Industrial Trends Orders,-5,-9,-6
"Dec 21, 2022",11:00,GBP,CBI Distributive Trades,-19,-23,11
"Dec 22, 2022",07:00,GBP,Current Account,£-33.768B,£-20.84B,£-19.402B
,07:00,GBP,GDP Growth Rate QoQ Final,0.1%,-0.2%,-0.3%
,07:00,GBP,GDP Growth Rate YoY Final,4%,2.4%,1.9%
"Dec 29, 2022",09:30,GBP,BoE Consumer Credit,£0.769B,,
,09:30,GBP,Mortgage Approvals,58.977K,,
"Dec 30, 2022",07:00,GBP,Nationwide Housing Prices YoY,4.4%,2.3%,2.8%
,07:00,GBP,Nationwide Housing Prices MoM,-1.4%,-0.7%,-0.1%
"Jan 03, 2023",09:30,GBP,S&P Global/CIPS Manufacturing PMI Final,46.5,44.7,45.3
"Jan 04, 2023",09:30,GBP,BoE Consumer Credit,£0.7B,£0.9B,£1.507B
,09:30,GBP,Mortgage Approvals,57.9K,55K,46.075K
,09:30,GBP,Mortgage Lending,£3.6B,£3.7B,£4.358B
"Jan 05, 2023",09:30,GBP,S&P Global/CIPS UK Services PMI Final,48.8,50,49.9
"Jan 06, 2023",07:00,GBP,Halifax House Price Index MoM,-2.4%,,-1.5%
,07:00,GBP,Halifax House Price Index YoY,4.6%,,2%
,09:30,GBP,Construction PMI,,,
,09:30,GBP,S&P Global/CIPS Construction PMI,50.4,49.6,48.8
"Jan 09, 2023",23:45,GBP,BoE Pill Speech,,,
"Jan 10, 2023",00:01,GBP,BRC Retail Sales Monitor YoY,4.1%,2.4%,6.5%
"Jan 13, 2023",07:00,GBP,GDP MoM,0.5%,-0.2%,0.1%
,07:00,GBP,GDP 3-Month Avg,-0.4%,-0.3%,-0.3%
,07:00,GBP,Goods Trade Balance,£-12.258B,£-14.9B,£-15.623B
,07:00,GBP,Industrial Production MoM,-0.1%,-0.3%,-0.2%
,07:00,GBP,Manufacturing Production MoM,0.7%,-0.2%,-0.5%
,07:00,GBP,Goods Trade Balance Non-EU,£-2.999B,,£-4.666B
"Jan 17, 2023",07:00,GBP,Employment Change,27K,5K,27K
,07:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.2%,6.2%,6.4%
,07:00,GBP,Unemployment Rate,3.7%,3.7%,3.7%
,07:00,GBP,Claimant Count Change,16.1K,,19.7K
"Jan 18, 2023",07:00,GBP,Inflation Rate YoY,10.7%,10.5%,10.5%
,07:00,GBP,Average Earnings incl. Bonus,,,
,07:00,GBP,Inflation Rate MoM,0.4%,0.4%,0.4%
,07:00,GBP,Core Inflation Rate YoY,6.3%,6.2%,6.3%
"Jan 20, 2023",00:01,GBP,Gfk Consumer Confidence,-42,-40,-45
,07:00,GBP,Retail Sales YoY,-5.7%,-4.1%,-5.8%
,07:00,GBP,Retail Sales ex Fuel MoM,-0.3%,0.4%,-1.1%
,07:00,GBP,Retail Sales MoM,-0.5%,0.5%,-1%
