Date,Time,Currency,Event,Previous,Forecast,Actual
,06:45,EUR,Inflation Rate YoY Prel,5.6%,5.7%,6.2%
,08:00,EUR,GDP Growth Rate QoQ Flash,0.1%,-0.2%,0.3%
,08:00,EUR,GDP Growth Rate YoY Flash,1.7%,0.8%,1.2%
,09:00,EUR,Economic Sentiment,93.6,92.5,92.5
,12:00,EUR,Inflation Rate YoY Prel,10%,10.1%,10.4%
,12:00,EUR,Inflation Rate MoM Prel,1.9%,0.6%,0.9%
"Oct 31, 2022",07:00,EUR,Retail Sales MoM,-1.4%,-0.3%,0.9%
,07:00,EUR,Retail Sales YoY,-1.5%,-4.9%,-0.9%
,10:00,EUR,GDP Growth Rate YoY Flash,4.3%,2.1%,2.1%
,10:00,EUR,Inflation Rate MoM Flash,1.2%,,1.5%
,10:00,EUR,Inflation Rate YoY Flash,9.9%,10.2%,10.7%
,10:00,EUR,GDP Growth Rate QoQ Flash,0.8%,0.2%,0.2%
,10:00,EUR,Core Inflation Rate YoY Flash,4.8%,4.9%,5%
"Nov 02, 2022",07:00,EUR,Balance of Trade,€0.3B,,€9B
,07:00,EUR,Unemployment Rate Harmonised,3.0%,,3.0%
,08:50,EUR,S&P Global Manufacturing PMI Final,47.7,47.4,47.2
,08:55,EUR,Unemployed Persons,2.51M,,2.518M
,08:55,EUR,Unemployment Rate,5.5%,5.5%,5.5%
,08:55,EUR,Unemployment Change,14K,15K,8K
,08:55,EUR,S&P Global Manufacturing PMI Final,47.8,45.7,45.1
,09:00,EUR,S&P Global Manufacturing PMII Final,48.4,46.6,46.4
"Nov 03, 2022",10:00,EUR,Unemployment Rate,6.7%,6.6%,6.6%
"Nov 04, 2022",07:00,EUR,Factory Orders MoM,-2%,-0.5%,-4%
,07:45,EUR,Industrial Production MoM,2.7%,-1%,-0.8%
,08:50,EUR,S&P Global Services PMI Final,52.9,51.3,51.7
,08:55,EUR,S&P Global Services PMI Final,45,44.9,46.5
,09:00,EUR,S&P Global Services PMI Final,48.8,48.2,48.6
,09:30,EUR,ECB President Lagarde Speech,,,
"Nov 07, 2022",00:00,EUR,Eurogroup Meeting,,,
,07:00,EUR,Industrial Production MoM,-1.2%,0.2%,0.6%
,08:30,EUR,S&P Global Construction PMI,41.8,,43.8
,08:40,EUR,ECB President Lagarde Speech,,,
,09:30,EUR,ECB Panetta Speech,,,
"Nov 08, 2022",07:45,EUR,Balance of Trade,€-15.3B,€-14.3B,€-17.49B
,08:40,EUR,ECB Enria Speech,,,
,10:00,EUR,Retail Sales YoY,-1.4%,-1.3%,-0.6%
,10:00,EUR,Retail Sales MoM,0%,0.4%,0.4%
"Nov 09, 2022",08:00,EUR,ECB Non-Monetary Policy Meeting,,,
,10:30,EUR,10-Year Bund Auction,2.33%,,2.25%
"Nov 11, 2022",07:00,EUR,Inflation Rate MoM Final,1.9%,0.9%,0.9%
,07:00,EUR,Inflation Rate YoY Final,10%,10.4%,10.4%
,12:00,EUR,ECB Guindos Speech,,,
,16:00,EUR,ECB Lane Speech,,,
"Nov 14, 2022",10:00,EUR,Industrial Production MoM,2%,0.3%,0.9%
"Nov 15, 2022",06:30,EUR,Unemployment Rate,7.4%,7.3%,7.3%
,07:00,EUR,Wholesale Prices MoM,1.6%,,-0.6%
,07:00,EUR,Wholesale Prices YoY,19.9%,,17.4%
,07:45,EUR,Inflation Rate YoY Final,5.6%,6.2%,6.2%
,07:45,EUR,Inflation Rate MoM Final,-0.6%,1%,1%
,09:00,EUR,IEA Oil Market Report,,,
,10:00,EUR,Balance of Trade,€-52.4B,€-44.5B,€-34.4B
,10:00,EUR,GDP Growth Rate QoQ 2nd Est,0.8%,0.2%,0.2%
,10:00,EUR,Employment Change QoQ Prel,0.4%,0.3%,0.2%
,10:00,EUR,Employment Change YoY Prel,2.7%,1.8%,1.7%
,10:00,EUR,GDP Growth Rate YoY 2nd Est,4.3%,2.1%,2.1%
,10:00,EUR,ZEW Economic Sentiment Index,-59.7,,-38.7
,10:00,EUR,ZEW Economic Sentiment Index,-59.2,-50,-36.7
"Nov 16, 2022",15:00,EUR,ECB President Lagarde Speech,,,
"Nov 17, 2022",10:00,EUR,Inflation Rate YoY Final,9.9%,10.7%,10.6%
,10:00,EUR,Construction Output YoY,2%,,1%
"Nov 18, 2022",08:30,EUR,ECB President Lagarde Speech,,,
"Nov 20, 2022",19:30,EUR,ECB President Lagarde Speech,,,
"Nov 21, 2022",07:00,EUR,PPI MoM,2.3%,0.9%,-4.2%
"Nov 22, 2022",10:00,EUR,OECD Economic Outlook,,,
,15:00,EUR,Consumer Confidence Flash,-27.5,-26,-23.9
"Nov 23, 2022",08:15,EUR,S&P Global Services PMI Flash,51.7,50.6,49.4
,08:15,EUR,S&P Global Manufacturing PMI Flash,47.2,47,49.1
,08:30,EUR,S&P Global Services PMI Flash,46.5,46.2,46.4
,08:30,EUR,S&P Global Manufacturing PMI Flash,45.1,45,46.7
,09:00,EUR,S&P Global Manufacturing PMI Flash,46.4,46,47.3
,09:00,EUR,S&P Global Services PMI Flash,48.6,48,48.6
"Nov 24, 2022",07:45,EUR,Business Confidence,103,102,101
,09:00,EUR,Ifo Business Climate,84.5,85,86.3
,12:30,EUR,ECB Monetary Policy Meeting Accounts,,,
"Nov 25, 2022",07:00,EUR,GDP Growth Rate YoY Final,1.6%,1.2%,1.3%
,07:00,EUR,GfK Consumer Confidence,-41.9,-39.6,-40.2
,07:00,EUR,GDP Growth Rate QoQ Final,0.1%,0.3%,0.4%
,07:45,EUR,Consumer Confidence,82,83,83
,11:00,EUR,Unemployment Benefit Claims,-60K,,-30.7K
"Nov 28, 2022",14:00,EUR,ECB President Lagarde Speech,,,
"Nov 29, 2022",10:00,EUR,Economic Sentiment,92.7,93.5,93.7
,13:00,EUR,Inflation Rate YoY Prel,10.4%,10.4%,10%
,13:00,EUR,Inflation Rate MoM Prel,0.9%,-0.2%,-0.5%
"Nov 30, 2022",07:45,EUR,GDP Growth Rate YoY Final,4.2%,,1%
,07:45,EUR,GDP Growth Rate QoQ Final,0.5%,0.2%,0.2%
,07:45,EUR,Inflation Rate YoY Prel,6.2%,6.2%,6.2%
,07:45,EUR,Inflation Rate MoM Prel,1%,0.4%,0.4%
,08:00,EUR,ECB Non-Monetary Policy Meeting,,,
,08:55,EUR,Unemployment Rate,5.5%,5.5%,5.6%
,08:55,EUR,Unemployment Change,9K,13K,17K
,08:55,EUR,Unemployed Persons,2.521M,,2.538M
,10:00,EUR,Inflation Rate MoM Flash,1.5%,,-0.1%
,10:00,EUR,Inflation Rate YoY Flash,10.6%,10.4%,10%
,10:00,EUR,Core Inflation Rate YoY Flash,5%,5%,5%
,10:30,EUR,10-Year Bund Auction,2.25%,,1.95%
"Dec 01, 2022",07:00,EUR,Retail Sales MoM,1.2%,-0.6%,-2.8%
,07:00,EUR,Retail Sales YoY,-0.9%,-2.8%,-5%
,08:00,EUR,ECB General Council Meeting,,,
,08:00,EUR,ECB General Council Meeting,,,
,08:50,EUR,S&P Global Manufacturing PMI Final,47.2,49.1,48.3
,08:55,EUR,S&P Global Manufacturing PMI Final,45.1,46.7,46.2
,09:00,EUR,S&P Global Manufacturing PMI Final,46.4,47.3,47.1
,10:00,EUR,Unemployment Rate,6.6%,6.6%,6.5%
"Dec 02, 2022",02:40,EUR,ECB President Lagarde Speech,,,
,07:00,EUR,Balance of Trade,€8.1B,,€5.3B
,07:45,EUR,Industrial Production MoM,-0.9%,,-2.6%
"Dec 03, 2022",02:30,EUR,ECB President Lagarde Speech,,,
,02:30,EUR,ECB President Lagarde Speech,,,
"Dec 05, 2022",00:00,EUR,Eurogroup Meeting,,,
,01:45,EUR,ECB President Lagarde Speech,,,
,08:50,EUR,S&P Global Services PMI Final,51.7,49.4,49.3
,08:55,EUR,S&P Global Services PMI Final,46.5,46.4,46.1
,09:00,EUR,S&P Global Services PMI Final,48.6,48.6,48.5
,10:00,EUR,Retail Sales YoY,0%,-2.6%,-2.7%
,10:00,EUR,Retail Sales MoM,0.8%,-1.7%,-1.8%
"Dec 06, 2022",07:00,EUR,Factory Orders MoM,-2.9%,0.1%,0.8%
,08:30,EUR,S&P Global Construction PMI,43.8,,41.5
"Dec 07, 2022",07:00,EUR,Industrial Production MoM,1.1%,-0.6%,-0.1%
,07:45,EUR,Balance of Trade,€-17.17B,€-16B,€-12.15B
,10:00,EUR,Employment Change YoY Final,2.6%,1.7%,1.8%
,10:00,EUR,GDP Growth Rate YoY 3rd Est,4.2%,2.1%,2.3%
,10:00,EUR,Employment Change QoQ Final,0.3%,0.2%,0.3%
,10:00,EUR,GDP Growth Rate QoQ 3rd Est,0.8%,0.2%,0.3%
"Dec 08, 2022",12:00,EUR,ECB President Lagarde Speech,,,
,18:00,EUR,ECB President Lagarde Speech,,,
"Dec 13, 2022",07:00,EUR,Inflation Rate YoY Final,10.4%,10%,10%
,07:00,EUR,Inflation Rate MoM Final,0.9%,-0.5%,-0.5%
,10:00,EUR,ZEW Economic Sentiment Index,-38.7,-25.7,-23.6
,10:00,EUR,ZEW Economic Sentiment Index,-36.7,-26.4,-23.3
"Dec 14, 2022",09:00,EUR,IEA Oil Market Report,,,
,10:00,EUR,Industrial Production MoM,0.8%,-1.5%,-2%
"Dec 15, 2022",07:00,EUR,Wholesale Prices MoM,-0.6%,,-0.9%
,07:00,EUR,Wholesale Prices YoY,17.4%,,14.9%
,07:45,EUR,Inflation Rate MoM Final,1%,0.4%,0.3%
,07:45,EUR,Inflation Rate YoY Final,6.2%,6.2%,6.2%
,07:45,EUR,Business Confidence,101,100,101
,13:15,EUR,ECB Interest Rate Decision,2%,2.5%,2.5%
,13:15,EUR,Deposit Facility Rate,1.5%,2%,2%
,13:45,EUR,ECB Press Conference,,,
"Dec 16, 2022",08:15,EUR,S&P Global Services PMI Flash,49.3,49.1,48.1
,08:15,EUR,S&P Global Manufacturing PMI Flash,48.3,48.2,48.9
,08:30,EUR,S&P Global Manufacturing PMI Flash,46.2,46.3,47.4
,08:30,EUR,S&P Global Services PMI Flash,46.1,46.3,49
,09:00,EUR,S&P Global Services PMI Flash,48.5,48.5,49.1
,09:00,EUR,S&P Global Manufacturing PMI Flash,47.1,47.1,47.8
,10:00,EUR,Inflation Rate YoY Final,10.6%,10%,10.1%
,10:00,EUR,Balance of Trade,€-34.4B,,€-26.5B
"Dec 19, 2022",09:00,EUR,Ifo Business Climate,86.4,87.4,88.6
,10:00,EUR,Construction Output YoY,0.9%,,2.2%
"Dec 20, 2022",07:00,EUR,PPI MoM,-4.2%,-2.5%,-3.9%
,15:00,EUR,Consumer Confidence Flash,-23.9,-22,-22.2
"Dec 21, 2022",07:00,EUR,GfK Consumer Confidence,-40.1,-38,-37.8
"Dec 27, 2022",11:00,EUR,Unemployment Benefit Claims,-30.7K,,-64.7K
"Jan 02, 2023",08:50,EUR,S&P Global Manufacturing PMI Final,48.3,48.9,49.2
,08:55,EUR,S&P Global Manufacturing PMI Final,46.2,47.4,47.1
,09:00,EUR,S&P Global Manufacturing PMI Final,47.1,47.8,47.8
"Jan 03, 2023",08:55,EUR,Unemployment Rate,5.5%,5.6%,5.5%
,08:55,EUR,Unemployment Change,15K,15K,-13K
,08:55,EUR,Unemployed Persons,2.533M,,2.52M
,13:00,EUR,Inflation Rate MoM Prel,-0.5%,-0.3%,-0.8%
,13:00,EUR,Inflation Rate YoY Prel,10%,9.1%,8.6%
"Jan 04, 2023",07:00,EUR,Unemployment Rate Harmonised,3.0%,,
,07:45,EUR,Inflation Rate YoY Prel,6.2%,6.4%,5.9%
,07:45,EUR,Consumer Confidence,83,84,82
,07:45,EUR,Inflation Rate MoM Prel,0.3%,0.4%,-0.1%
,08:50,EUR,S&P Global Services PMI Final,49.3,48.1,49.5
,08:55,EUR,S&P Global Services PMI Final,46.1,49,49.2
,09:00,EUR,S&P Global Services PMI Final,48.5,49.1,49.8
"Jan 05, 2023",07:00,EUR,Balance of Trade,€5.2B,,€11.1B
,08:30,EUR,S&P Global Construction PMI,41.5,,41.7
"Jan 06, 2023",07:00,EUR,Retail Sales MoM,-2.8%,1%,1.1%
,07:00,EUR,Retail Sales YoY,-5%,,-5.9%
,07:00,EUR,Factory Orders MoM,0.6%,-0.5%,-5.3%
,08:30,EUR,Construction PMI,,,
,10:00,EUR,Retail Sales YoY,-2.6%,-3.3%,-2.8%
,10:00,EUR,Economic Sentiment,94,94.7,95.8
,10:00,EUR,Inflation Rate YoY Flash,10.1%,9.7%,9.2%
,10:00,EUR,Inflation Rate MoM Flash,-0.1%,,-0.3%
,10:00,EUR,Core Inflation Rate YoY Flash,5%,5%,5.2%
,10:00,EUR,Retail Sales MoM,-1.5%,0.5%,0.8%
"Jan 09, 2023",07:00,EUR,Industrial Production MoM,-0.4%,0.1%,0.2%
,07:45,EUR,Balance of Trade,€-11.59B,,€-13.77B
,10:00,EUR,Unemployment Rate,6.5%,6.5%,6.5%
"Jan 10, 2023",07:45,EUR,Industrial Production MoM,-2.5%,0.8%,2%
,10:10,EUR,ECB Schnabel Speech,,,
"Jan 11, 2023",10:30,EUR,10-Year Bund Auction,1.95%,,2.25%
"Jan 13, 2023",07:45,EUR,Inflation Rate MoM Final,0.3%,-0.1%,-0.1%
,07:45,EUR,Inflation Rate YoY Final,6.2%,5.9%,5.9%
,09:00,EUR,Full Year GDP Growth,2.6%,1.8%,1.9%
,10:00,EUR,Industrial Production MoM,-1.9%,0.5%,1%
,10:00,EUR,Balance of Trade,€-26.5B,€-21.1B,€-11.7B
"Jan 16, 2023",00:00,EUR,Eurogroup Meeting,,,
,07:00,EUR,Wholesale Prices MoM,-0.9%,,-1.6%
,07:00,EUR,Wholesale Prices YoY,14.9%,,12.8%
"Jan 17, 2023",07:00,EUR,Inflation Rate MoM Final,-0.5%,-0.8%,-0.8%
,07:00,EUR,Inflation Rate YoY Final,10%,8.6%,8.6%
,10:00,EUR,ZEW Economic Sentiment Index,-23.3,-15,16.9
,10:00,EUR,ZEW Economic Sentiment Index,-23.6,,16.7
"Jan 18, 2023",10:00,EUR,Inflation Rate YoY Final,10.1%,9.2%,9.2%
"Jan 19, 2023",10:30,EUR,ECB President Lagarde Speech,,,
,12:30,EUR,ECB Monetary Policy Meeting Accounts,,,
,17:00,EUR,ECB Schnabel Speech,,,
"Jan 20, 2023",07:00,EUR,PPI MoM,-3.9%,-1.2%,-0.4%
,10:00,EUR,ECB President Lagarde Speech,,,
