Date,Time,Currency,Event,Previous,Forecast,Actual
,08:20,AUD,RBA Gov Lowe Speech,,,
,21:30,AUD,Ai Group Manufacturing Index,50.2,,49.6
"Nov 02, 2022",00:30,AUD,Building Permits MoM Prel,23.1%,-7%,-5.8%
,00:30,AUD,Investment Lending for Homes,-4.8%,,-6.0%
,00:30,AUD,Home Loans MoM,-2.7%,-2.65%,-9.3%
,22:00,AUD,S&P Global Services PMI Final,50.6,,49.3
"Nov 03, 2022",00:30,AUD,Building Permits MoM Prel,,,
,00:30,AUD,Balance of Trade,A$8.664B,A$8.85B,A$12.444B
,05:00,AUD,RBA Kearns Speech,,,
"Nov 04, 2022",00:30,AUD,RBA Statement on Monetary Policy,,,
,00:30,AUD,Retail Sales MoM Final,0.6%,0.6%,0.6%
"Nov 07, 2022",21:30,AUD,Ai Group Services Index,48,,47.7
,23:30,AUD,Westpac Consumer Confidence Change,-0.9%,,-6.9%
,23:30,AUD,Westpac Consumer Confidence Index,83.7,,78
"Nov 08, 2022",00:30,AUD,NAB Business Confidence,5,,0
"Nov 09, 2022",00:30,AUD,Building Permits MoM Final,23.1%,,-5.8%
,05:30,AUD,HIA New Home Sales MoM,,,
,09:05,AUD,RBA Bullock Speech,,,
"Nov 15, 2022",00:30,AUD,RBA Meeting Minutes,,,
"Nov 17, 2022",00:30,AUD,Part Time Employment Chg,-14.7K,,-14.9K
,00:30,AUD,Full Time Employment Chg,10.8K,,47.1K
,00:30,AUD,Employment Change,-3.8K,15K,32.2K
,00:30,AUD,Unemployment Rate,3.5%,3.6%,3.4%
"Nov 22, 2022",07:00,AUD,RBA Gov Lowe Speech,,,
,22:00,AUD,S&P Global Manufacturing PMI Flash,52.7,,51.5
,22:00,AUD,S&P Global Services PMI Flash,49.3,,47.2
"Nov 27, 2022",23:00,AUD,RBA Gov Lowe Speech,,,
"Nov 28, 2022",00:30,AUD,Retail Sales MoM Prel,0.6%,0.5%,-0.2%
"Nov 30, 2022",00:00,AUD,RBA Kearns Speech,,,
,00:30,AUD,Construction Work Done QoQ,-3.8%,1.5%,2.2%
,00:30,AUD,Monthly CPI Indicator,7.3%,7.4%,6.9%
,00:30,AUD,Building Permits MoM Prel,-8.1%,-1.8%,-6%
,21:30,AUD,Ai Group Manufacturing Index,49.6,,
,22:00,AUD,S&P Global Manufacturing PMI Final,52.7,,
"Dec 02, 2022",00:30,AUD,Investment Lending for Homes,-3.5%,,-2.2%
,00:30,AUD,Retail Sales MoM Final,0.6%,,-0.2%
,00:30,AUD,Home Loans MoM,-4.8%,-4.5%,-2.9%
,02:00,AUD,RBA Gov Lowe Speech,,,
"Dec 04, 2022",22:00,AUD,S&P Global Services PMI Final,49.3,,47.6
"Dec 05, 2022",00:30,AUD,Company Gross Profits QoQ,7.8%,0.3%,-12.4%
"Dec 06, 2022",03:30,AUD,RBA Interest Rate Decision,2.85%,3.1%,3.1%
,21:30,AUD,Ai Group Services Index,47.7,,45.6
"Dec 07, 2022",00:30,AUD,GDP Growth Rate QoQ,0.9%,0.7%,0.6%
,00:30,AUD,GDP Growth Rate YoY,3.4%,6.2%,5.9%
,00:30,AUD,Building Permits MoM Final,-8.1%,-6%,-6%
,21:45,AUD,RBA Jones Speech,,,
"Dec 08, 2022",00:30,AUD,RBA Bulletin,,,
,00:30,AUD,Balance of Trade,A$12.444B,A$12.1B,A$12.217B
"Dec 12, 2022",23:30,AUD,Westpac Consumer Confidence Change,-6.9%,,3%
,23:30,AUD,Westpac Consumer Confidence Index,78,,80
"Dec 13, 2022",00:30,AUD,NAB Business Confidence,0,,-4
,22:30,AUD,RBA Gov Lowe Speech,,,
"Dec 14, 2022",00:00,AUD,HIA New Home Sales MoM,,,
,03:50,AUD,RBA Connolly Speech,,,
"Dec 15, 2022",00:30,AUD,Full Time Employment Chg,55.0K,,34.2K
,00:30,AUD,Employment Change,43.1K,19K,64K
,00:30,AUD,Unemployment Rate,3.4%,3.4%,3.4%
,00:30,AUD,Part Time Employment Chg,-11.9K,,29.8K
,22:00,AUD,S&P Global Services PMI Flash,47.6,,
,22:00,AUD,Judo Bank Manufacturing PMI Flash,51.3,,50.4
,22:00,AUD,S&P Global Manufacturing PMI Flash,51.3,,
,22:00,AUD,Judo Bank Services PMI Flash,47.6,,46.9
"Dec 20, 2022",00:30,AUD,RBA Meeting Minutes,,,
"Dec 22, 2022",00:30,AUD,Retail Sales MoM Prel,,,
"Dec 23, 2022",00:30,AUD,Housing Credit MoM,0.4%,,0.4%
"Jan 01, 2023",21:30,AUD,Ai Group Manufacturing Index,44.7,,
"Jan 02, 2023",22:00,AUD,Judo Bank Manufacturing PMI Final,51.3,,50.2
,22:00,AUD,S&P Global Manufacturing PMI Final,51.3,,
"Jan 04, 2023",22:00,AUD,Judo Bank Services PMI Final,47.6,46.9,47.3
,22:00,AUD,S&P Global Services PMI Final,47.6,,
"Jan 05, 2023",21:30,AUD,Ai Group Services Index,45.6,,
"Jan 09, 2023",00:30,AUD,Building Permits MoM Prel,-5.6%,-1%,-9.0%
"Jan 11, 2023",00:30,AUD,Monthly CPI Indicator,6.9%,7.3%,7.3%
,00:30,AUD,Retail Sales MoM,0.4%,0.6%,1.4%
"Jan 12, 2023",00:30,AUD,Balance of Trade,A$12.217B,A$10.5B,A$13.201B
"Jan 13, 2023",00:30,AUD,Investment Lending for Homes,-2.3%,,-3.6%
,00:30,AUD,Home Loans MoM,-3.1%,-3%,-3.8%
"Jan 16, 2023",23:30,AUD,Westpac Consumer Confidence Index,80.3,,84.3
,23:30,AUD,Westpac Consumer Confidence Change,3%,,5%
"Jan 19, 2023",00:30,AUD,Unemployment Rate,3.5%,3.4%,3.5%
,00:30,AUD,Part Time Employment Chg,25.0K,,-32.2K
,00:30,AUD,Full Time Employment Chg,33.2K,,17.6K
,00:30,AUD,Employment Change,58.2K,22.5K,-14.6K
"Jan 20, 2023",05:30,AUD,HIA New Home Sales MoM,,,
