Date,Time,Currency,Event,Previous,Forecast,Actual
,15:00,USD,EIA Gasoline Stocks Change,-4.728M,-1.825M,2.023M
,15:00,USD,EIA Crude Oil Stocks Change,-1.356M,1.75M,9.88M
"Oct 14, 2022",12:30,USD,Retail Sales Ex Autos MoM,-0.1%,-0.1%,0.1%
,12:30,USD,Retail Sales MoM,0.4%,0.2%,0.0%
,12:30,USD,Import Prices MoM,-1.1%,-1.1%,-1.2%
,12:30,USD,Export Prices MoM,-1.7%,-1%,-0.8%
,14:00,USD,Business Inventories MoM,0.5%,0.9%,0.8%
,14:00,USD,Michigan Consumer Sentiment Prel,58.6,59,59.8
"Oct 17, 2022",12:30,USD,NY Empire State Manufacturing Index,-1.5,-4,-9.1
"Oct 18, 2022",13:15,USD,Industrial Production MoM,-0.1%,0.1%,0.4%
,13:15,USD,Industrial Production YoY,3.9%,,5.3%
,14:00,USD,NAHB Housing Market Index,46,43,38
,20:00,USD,Net Long-term TIC Flows,$21.4B,$28.2B,$197.9B
,20:30,USD,API Crude Oil Stock Change,7.054M,1.551M,-1.27M
,21:30,USD,Fed Kashkari Speech,,,
"Oct 19, 2022",12:30,USD,Housing Starts,1.566M,1.475M,1.439M
,12:30,USD,Building Permits,1.542M,1.53M,1.564M
,12:30,USD,Building Permits MoM,-8.5%,,1.4%
,12:30,USD,Housing Starts MoM,13.7%,,-8.1%
,14:30,USD,EIA Crude Oil Stocks Change,9.88M,1.38M,-1.725M
,14:30,USD,EIA Gasoline Stocks Change,2.023M,-1.114M,-0.114M
,17:00,USD,Fed Kashkari Speech,,,
,22:30,USD,Fed Evans Speech,,,
,23:30,USD,Fed Bullard Speech,,,
"Oct 20, 2022",12:30,USD,Philly Fed Employment,12,,28.5
,12:30,USD,Philadelphia Fed Manufacturing Index,-9.9,-5,-8.7
,12:30,USD,Initial Jobless Claims,226K,230K,214K
,14:00,USD,Existing Home Sales MoM,-0.8%,,-1.5%
,14:00,USD,Existing Home Sales,4.78M,4.7M,4.71M
,16:00,USD,Fed Harker Speech,,,
,17:30,USD,Fed Jefferson Speech,,,
,17:45,USD,Fed Cook Speech,,,
,18:05,USD,Fed Bowman Speech,,,
"Oct 21, 2022",13:10,USD,Fed Williams Speech,,,
,14:30,USD,Monthly Budget Statement,$-220B,$-173.5B,$-430B
"Oct 24, 2022",12:30,USD,Chicago Fed National Activity Index,0.1,,0.1
,13:45,USD,S&P Global Services PMI Flash,49.3,49.2,46.6
,13:45,USD,S&P Global Manufacturing PMI Flash,52,51,49.9
,13:45,USD,S&P Global Composite PMI Flash,49.5,,47.3
"Oct 25, 2022",13:00,USD,S&P/Case-Shiller Home Price YoY,16%,14.4%,13.1%
,13:00,USD,S&P/Case-Shiller Home Price MoM,-0.8%,-0.7%,-1.6%
,14:00,USD,CB Consumer Confidence,107.8,106.5,102.5
,17:55,USD,Fed Waller Speech,,,
,20:30,USD,API Crude Oil Stock Change,-1.27M,0.200M,4.52M
"Oct 26, 2022",12:30,USD,Wholesale Inventories MoM Adv,1.4%,1%,0.8%
,12:30,USD,Retail Inventories Ex Autos MoM Adv,0.7%,,-0.1%
,12:30,USD,Goods Trade Balance Adv,$-87.28B,,$-92.22B
,12:30,USD,Building Permits Final,1.542M,,1.564M
,14:00,USD,New Home Sales MoM,24.7%,-13.9%,-10.9%
,14:00,USD,New Home Sales,0.677M,0.585M,0.603M
,14:30,USD,EIA Crude Oil Stocks Change,-1.725M,1.029M,2.588M
,14:30,USD,EIA Gasoline Stocks Change,-0.114M,-0.805M,-1.478M
"Oct 27, 2022",12:30,USD,Durable Goods Orders Ex Transp MoM,0%,0.2%,-0.5%
,12:30,USD,GDP Price Index QoQ Adv,9.1%,5.3%,4.1%
,12:30,USD,Initial Jobless Claims,214K,220K,217K
,12:30,USD,Durable Goods Orders MoM,0.2%,0.6%,0.4%
,12:30,USD,GDP Growth Rate QoQ Adv,-0.6%,2.4%,2.6%
"Oct 28, 2022",12:30,USD,Employment Cost - Wages QoQ,1.4%,,1.3%
,12:30,USD,Personal Spending MoM,0.6%,0.4%,0.6%
,12:30,USD,PCE Price Index YoY,6.2%,,6.2%
,12:30,USD,Personal Income MoM,0.4%,0.3%,0.4%
,12:30,USD,PCE Price Index MoM,0.3%,,0.3%
,12:30,USD,Employment Cost - Benefits QoQ,1.2%,,1%
,12:30,USD,Employment Cost Index QoQ,1.3%,1.2%,1.2%
,14:00,USD,Pending Home Sales YoY,-24.1%,,-31%
,14:00,USD,Michigan Consumer Sentiment Final,58.6,59.8,59.9
,14:00,USD,Pending Home Sales MoM,-1.9%,-5%,-10.2%
"Oct 31, 2022",13:45,USD,Chicago PMI,45.7,47,45.2
,14:30,USD,Dallas Fed Manufacturing Index,-17.2,,-19.4
"Nov 01, 2022",13:45,USD,S&P Global Manufacturing PMI Final,52,49.9,50.4
,14:00,USD,JOLTs Job Openings,10.28M,10M,10.717M
,14:00,USD,ISM Manufacturing Employment,48.7,,50
,14:00,USD,ISM Manufacturing PMI,50.9,50,50.2
,20:30,USD,API Crude Oil Stock Change,4.52M,0.267M,-6.53M
"Nov 02, 2022",12:15,USD,ADP Employment Change,192K,195K,239K
,14:30,USD,EIA Gasoline Stocks Change,-1.478M,-1.358M,-1.257M
,14:30,USD,EIA Crude Oil Stocks Change,2.588M,0.367M,-3.115M
,18:00,USD,Fed Interest Rate Decision,3.25%,4%,4%
,18:30,USD,Fed Press Conference,,,
"Nov 03, 2022",12:30,USD,Balance of Trade,$-65.7B,$-72.2B,$-73.3B
,12:30,USD,Nonfarm Productivity QoQ Prel,-4.1%,0.6%,0.3%
,12:30,USD,Unit Labour Costs QoQ Prel,8.9%,4.1%,3.5%
,12:30,USD,Initial Jobless Claims,218K,220K,217K
,12:30,USD,Exports,$260.8B,,$258B
,12:30,USD,Imports,$326.5B,,$331.3B
,13:45,USD,S&P Global Services PMI Final,49.3,46.6,47.8
,13:45,USD,S&P Global Composite PMI Final,49.5,47.3,48.2
,14:00,USD,ISM Non-Manufacturing PMI,56.7,55.5,54.4
,14:00,USD,ISM Non-Manufacturing Employment,53,,49.1
,14:00,USD,Factory Orders MoM,0.2%,0.3%,0.3%
"Nov 04, 2022",12:30,USD,Average Hourly Earnings YoY,5%,4.7%,4.7%
,12:30,USD,Unemployment Rate,3.5%,3.6%,3.7%
,12:30,USD,Average Hourly Earnings MoM,0.3%,0.3%,0.4%
,12:30,USD,Non Farm Payrolls,315K,200K,261K
,12:30,USD,Participation Rate,62.3%,,62.2%
"Nov 07, 2022",20:40,USD,Fed Collins Speech,,,
,20:40,USD,Fed Mester Speech,,,
,23:00,USD,Fed Barkin Speech,,,
"Nov 08, 2022",00:00,USD,2022 Midterm Elections,,,
,15:00,USD,IBD/TIPP Economic Optimism,41.6,41.5,40.4
,21:30,USD,API Crude Oil Stock Change,-6.53M,1.100M,5.618M
"Nov 09, 2022",08:00,USD,Fed Williams Speech,,,
,15:00,USD,Wholesale Inventories MoM,1.4%,0.8%,0.6%
,15:30,USD,EIA Crude Oil Stocks Change,-3.115M,1.36M,3.925M
,15:30,USD,EIA Gasoline Stocks Change,-1.257M,-1.08M,-0.899M
,16:00,USD,Fed Barkin Speech,,,
"Nov 10, 2022",07:00,USD,Fed Waller Speech,,,
,13:30,USD,Core Inflation Rate MoM,0.6%,0.5%,0.3%
,13:30,USD,Core Inflation Rate YoY,6.6%,6.5%,6.3%
,13:30,USD,CPI,296.808,298.583,298.012
,13:30,USD,Initial Jobless Claims,218K,220K,225K
,13:30,USD,Inflation Rate MoM,0.4%,0.6%,0.4%
,13:30,USD,Inflation Rate YoY,8.2%,8%,7.7%
,14:00,USD,Fed Harker Speech,,,
,14:35,USD,Fed Logan Speech,,,
,17:30,USD,Fed Mester Speech,,,
,18:30,USD,Fed George Speech,,,
,19:00,USD,Monthly Budget Statement,$-430B,$-90B,$-88B
,23:35,USD,Fed Williams Speech,,,
"Nov 11, 2022",15:00,USD,Michigan Consumer Sentiment Prel,59.9,59.5,54.7
"Nov 13, 2022",21:30,USD,Fed Waller Speech,,,
"Nov 14, 2022",16:30,USD,Fed Brainard Speech,,,
"Nov 15, 2022",13:30,USD,PPI MoM,0.2%,0.4%,0.2%
,13:30,USD,NY Empire State Manufacturing Index,-9.1,-5,4.5
,13:30,USD,Core PPI MoM,0.2%,0.3%,0%
,14:00,USD,Fed Cook Speech,,,
,15:00,USD,Fed S. Barr Testimony,,,
,21:30,USD,API Crude Oil Stock Change,5.618M,,-5.835M
"Nov 16, 2022",13:30,USD,Retail Sales MoM,0%,1%,1.3%
,13:30,USD,Export Prices MoM,-1.5%,-0.4%,-0.3%
,13:30,USD,Import Prices MoM,-1.1%,-0.4%,-0.2%
,13:30,USD,Retail Sales Ex Autos MoM,0.1%,0.4%,1.3%
,14:15,USD,Industrial Production MoM,0.1%,0.2%,-0.1%
,14:15,USD,Industrial Production YoY,5%,,3.3%
,14:50,USD,Fed Williams Speech,,,
,15:00,USD,NAHB Housing Market Index,38,36,33
,15:00,USD,Business Inventories MoM,0.9%,0.5%,0.4%
,15:00,USD,Fed S. Barr Testimony,,,
,15:30,USD,EIA Crude Oil Stocks Change,3.925M,-0.44M,-5.4M
,15:30,USD,EIA Gasoline Stocks Change,-0.899M,0.31M,2.207M
,19:35,USD,Fed Waller Speech,,,
,21:00,USD,Net Long-term TIC Flows,$198.3B,,$118B
"Nov 17, 2022",12:30,USD,Fed Bostic Speech,,,
,13:30,USD,Housing Starts,1.488M,1.41M,1.425M
,13:30,USD,Initial Jobless Claims,226K,225K,222K
,13:30,USD,Building Permits MoM,1.4%,,
,13:30,USD,Building Permits MoM Prel,1.4%,,-2.4%
,13:30,USD,Philadelphia Fed Manufacturing Index,-8.7,-6.2,-19.4
,13:30,USD,Housing Starts MoM,-1.3%,,-4.2%
,13:30,USD,Philly Fed Employment,28.5,,7.1
,13:30,USD,Building Permits,1.564M,,
,13:30,USD,Building Permits Prel,1.564M,,1.526M
,14:15,USD,Fed Bowman Speech,,,
,14:40,USD,Fed Mester Speech,,,
,15:40,USD,Fed Kashkari Speech,,,
,15:40,USD,Fed Jefferson Speech,,,
,18:45,USD,Fed Kashkari Speech,,,
"Nov 18, 2022",13:40,USD,Fed Collins Speech,,,
,15:00,USD,Existing Home Sales MoM,-1.5%,,-5.9%
,15:00,USD,Existing Home Sales,4.71M,4.38M,4.43M
"Nov 19, 2022",18:45,USD,Fed Bostic Speech,,,
"Nov 21, 2022",13:30,USD,Chicago Fed National Activity Index,0.17,,-0.05
"Nov 22, 2022",16:00,USD,Fed Mester Speech,,,
,19:15,USD,Fed George Speech,,,
,19:45,USD,Fed Bullard Speech,,,
,21:30,USD,API Crude Oil Stock Change,-5.835M,-2.200M,-4.8M
"Nov 23, 2022",13:25,USD,Building Permits Final,1.564M,1.526M,1.512M
,13:30,USD,Durable Goods Orders Ex Transp MoM,-0.9%,0%,0.5%
,13:30,USD,Durable Goods Orders MoM,0.3%,0.4%,1%
,13:30,USD,Initial Jobless Claims,223K,225K,240K
,14:45,USD,S&P Global Composite PMI Flash,48.2,,46.3
,14:45,USD,S&P Global Services PMI Flash,47.8,47.9,46.1
,14:45,USD,S&P Global Composite Flash,,,
,14:45,USD,S&P Global Manufacturing PMI Flash,50.4,50,47.6
,15:00,USD,Michigan Consumer Sentiment Final,59.9,55,56.8
,15:00,USD,New Home Sales MoM,-11%,,7.5%
,15:00,USD,New Home Sales,0.588M,0.57M,0.632M
,15:30,USD,EIA Gasoline Stocks Change,2.207M,0.383M,3.058M
,15:30,USD,EIA Crude Oil Stocks Change,-5.4M,-1.055M,-3.691M
,19:00,USD,FOMC Minutes,,,
"Nov 28, 2022",15:30,USD,Dallas Fed Manufacturing Index,-19.4,,-14.4
,17:00,USD,Fed Williams Speech,,,
,17:00,USD,Fed Bullard Speech,,,
"Nov 29, 2022",14:00,USD,S&P/Case-Shiller Home Price YoY,13.1%,10.8%,10.4%
,14:00,USD,S&P/Case-Shiller Home Price MoM,-1.6%,,-1.5%
,15:00,USD,CB Consumer Confidence,102.2,100,100.2
,21:30,USD,API Crude Oil Stock Change,-4.819M,-2.487M,-7.85M
"Nov 30, 2022",13:15,USD,ADP Employment Change,239K,200K,127K
,13:30,USD,Corporate Profits QoQ Prel,6.2%,,-0.2%
,13:30,USD,Wholesale Inventories MoM Adv,0.6%,,0.8%
,13:30,USD,GDP Price Index QoQ 2nd Est,9%,4.1%,4.3%
,13:30,USD,Goods Trade Balance Adv,$-91.91B,,$-99B
,13:30,USD,GDP Growth Rate QoQ 2nd Est,-0.6%,2.7%,2.9%
,13:30,USD,Retail Inventories Ex Autos MoM Adv,-0.1%,,-0.4%
,14:45,USD,Chicago PMI,45.2,47,37.2
,15:00,USD,Pending Home Sales YoY,-29.9%,,-37%
,15:00,USD,Pending Home Sales MoM,-8.7%,-5%,-4.6%
,15:00,USD,JOLTs Job Openings,10.687M,10.3M,10.334M
,15:30,USD,EIA Gasoline Stocks Change,3.058M,1.625M,2.769M
,15:30,USD,EIA Crude Oil Stocks Change,-3.691M,-2.758M,-12.58M
,17:35,USD,Fed Cook Speech,,,
,18:30,USD,Fed Chair Powell Speech,,,
