Date,Time,Currency,Event,Previous,Forecast,Actual
,23:50,JPY,Retail Sales YoY,4.4%,3.7%,2.6%
"Dec 27, 2022",05:00,JPY,Housing Starts YoY,-1.8%,1.5%,-1.4%
,23:50,JPY,Industrial Production MoM Prel,-3.2%,-0.3%,-0.1%
,23:50,JPY,BoJ Summary of Opinions,,,
"Jan 04, 2023",00:30,JPY,Jibun Bank Manufacturing PMI Final,49,,48.9
"Jan 05, 2023",05:00,JPY,Consumer Confidence,28.6,,30.3
"Jan 06, 2023",00:30,JPY,Jibun Bank Services PMI Final,50.3,,51.1
"Jan 10, 2023",10:10,JPY,BoJ Kuroda Speech,,,
"Jan 11, 2023",23:50,JPY,Current Account,¥-64.1B,¥471.1B,¥1803.6B
"Jan 17, 2023",23:00,JPY,Reuters Tankan Index,8,,-6
,23:50,JPY,Machinery Orders MoM,5.4%,-0.9%,-8.3%
,23:50,JPY,Machinery Orders YoY,0.4%,2.4%,-3.7%
"Jan 18, 2023",03:00,JPY,BoJ Quarterly Outlook Report,,,
,03:00,JPY,BoJ Interest Rate Decision,-0.1%,,-0.1%
,23:50,JPY,Balance of Trade,¥-2029B,¥-1652.8B,¥-1448.5B
,23:50,JPY,Exports YoY,20%,10.1%,11.5%
"Jan 19, 2023",23:30,JPY,Inflation Rate YoY,3.8%,,4%
,23:30,JPY,Core Inflation Rate YoY,3.7%,4%,4%
