Date,Time,Currency,Event,Previous,Forecast,Actual
"Dec 07, 2022",15:00,CAD,BoC Interest Rate Decision,3.75%,4.25%,4.25%
"Dec 12, 2022",20:40,CAD,BoC Gov Macklem Speech,,,
"Dec 15, 2022",13:15,CAD,Housing Starts,264.6K,255K,264.2K
"Dec 16, 2022",13:30,CAD,New Housing Price Index YoY,5.1%,,4.1%
,13:30,CAD,New Housing Price Index MoM,-0.2%,,-0.2%
"Dec 20, 2022",13:30,CAD,Retail Sales MoM,-0.6%,1.5%,1.4%
,13:30,CAD,Retail Sales Ex Autos MoM,-0.8%,1.4%,1.7%
"Dec 21, 2022",13:30,CAD,Inflation Rate YoY,6.9%,6.7%,6.8%
,13:30,CAD,Inflation Rate MoM,0.7%,0%,0.1%
,13:30,CAD,Core Inflation Rate YoY,5.8%,,5.8%
"Dec 23, 2022",13:30,CAD,GDP MoM,0.2%,0.1%,0.1%
"Jan 03, 2023",14:30,CAD,S&P Global Manufacturing PMI,49.6,,49.2
"Jan 05, 2023",13:30,CAD,New Housing Price Index YoY,,,
,13:30,CAD,New Housing Price Index MoM,,,
,13:30,CAD,Balance of Trade,C$0.13B,C$0.61B,C$-0.04B
"Jan 06, 2023",13:30,CAD,Employment Change,10.1K,8K,104K
,13:30,CAD,Full Time Employment Chg,50.7K,,84.5K
,13:30,CAD,Participation Rate,64.8%,,65%
,13:30,CAD,Unemployment Rate,5.1%,5.2%,5%
,13:30,CAD,Part Time Employment Chg,-40.6K,,19.5K
,15:00,CAD,Ivey PMI s.a,51.4,,33.4
"Jan 10, 2023",10:10,CAD,BoC Gov Macklem Speech,,,
"Jan 17, 2023",13:15,CAD,Housing Starts,263K,257.5K,248.6K
,13:30,CAD,Core Inflation Rate YoY,5.8%,,5.4%
,13:30,CAD,Inflation Rate MoM,0.1%,-0.5%,-0.6%
,13:30,CAD,Inflation Rate YoY,6.8%,6.4%,6.3%
"Jan 20, 2023",13:30,CAD,Retail Sales Ex Autos MoM,1.6%,-0.4%,-0.6%
,13:30,CAD,ADP Employment Change,,,
,13:30,CAD,Retail Sales MoM,1.3%,-0.5%,-0.1%
